dataset,best_solution,union_solution,sfs_intersection_solution,intersection_solution,majority_voting
Biodegradeable,0.045919861784443426,0.09864915709978293,0.0726685606730367,0.10171387021941129,0.04185322272958686
Breastcancer,0.02863777346535967,nan,0.09002517278379353,nan,0.04809146791905411
Clean2,0.060254204955809784,0.16956098783283685,0.08846725980959015,0.09059144790436437,0.06510219282362634
Climate,0.2529939792008757,nan,0.43796843641671324,0.739016602809705,0.3205126801678523
German_credit,0.08080366100757515,0.15787424816740694,0.09309299596454271,0.14312103368523288,0.08295824182382609
Hepatitis,0.023577718241965084,nan,0.14482672197735724,nan,0.06293391524788983
Ionosphere,0.09629696668743323,0.08055623814244511,0.18024165151954186,0.19299301329727228,0.09206745324392397
Madelon,0.01777243151268916,0.004280177830138048,0.22826720607610235,0.10790657761317674,0.021715053359566857
Uci_imageseg,0.15842316519267516,nan,0.23788931140110842,0.5669489816495246,0.146542457676759
Uci_parkinsons,0.04641239986067569,nan,0.0999922874060806,nan,0.03919150453633211
Uci_voice,0.004135009889139279,nan,0.05655063593060691,nan,0.0033680943838028886
Urbanland,0.03867251411290802,0.11580224914713035,0.08772225625034016,0.07027917617552064,0.040400250851722636
Wine,0.09686707928087235,nan,0.21333038608900717,nan,0.20760978485116435
