dataset,best_solution,union_solution,sfs_intersection_solution,intersection_solution,majority_voting
Biodegradeable,0.04524215781464238,0.092771436581361,0.050205561009902616,0.038072926355753725,0.04314291105836796
Breastcancer,0.06606313227002883,nan,0.06283343093687928,nan,0.06658373554925279
Clean2,0.03619225463829166,0.04122223782273454,0.03227428283619159,0.027885580779190577,0.03616578033915718
Climate,0.1947354497354495,nan,0.3004260171501551,0.4114504652435693,0.15804597701149428
German_credit,0.033899030453499145,0.060793096070138254,0.03425980629097787,0.03826346980074805,0.03718852914789832
Hepatitis,0.1224088477899731,nan,0.12152176418056657,nan,0.13407695483920543
Ionosphere,0.14414018480955562,0.04154393649322652,0.1699855362127167,nan,0.17728194726166316
Madelon,0.015155040192873916,0.013821486589500226,0.015879214762469934,0.01680417936487532,0.015244288477753514
Uci_imageseg,0.10277071990320635,nan,0.1318605421599977,0.19432340429618117,0.09468902140408496
Uci_parkinsons,0.0687042842215256,nan,0.14220447496309566,0.17946443084374145,0.07091033487585215
Uci_voice,0.007857395021805822,0.006714229216798674,0.015580845259181821,0.01567813889745896,0.008688917815552609
Urbanland,0.02234709019674405,0.035180522437925264,0.026813401401140344,0.02558017511913691,0.0224657920160838
Wine,0.2013439434129085,nan,0.2089448865310937,nan,0.24444444444444408
