dataset,best_solution,sfs_solution,no+5fold_solution
Biodegradeable,0.1873232915040038,0.2443028269389108,0.21631091702450148
Breastcancer,0.17118333135574523,0.22879584017515073,0.27948762603935023
Clean2,0.0876764982578778,0.25012350016510826,0.08677242737350836
Climate,0.09120780879401569,0.3215106732348111,0.16768472906403956
German_credit,0.06893984160587155,0.23526208243975763,0.11126036751113581
Hepatitis,0.10476267296593965,0.0964750957854408,0.07994060822554475
Ionosphere,0.13252764664529373,0.31009975637764664,0.17738765704282952
Madelon,0.011831548749350582,0.1503231437754808,0.015592046032225932
Uci_imageseg,0.25181238536955425,0.42404252969588585,0.3231664890194834
Uci_parkinsons,0.2763537675606634,0.2881748519679551,0.31346171070309
Uci_voice,0.006520817090875831,0.25446983917521926,0.011907014924076479
Urbanland,0.04432039205909273,0.3038617943819245,0.06468716256360993
Wine,0.14245505452402019,0.30025346301208394,0.2885882699675811
