dataset,run,best_solution,best_solution_size,validation_fitness,F1_test,CAC_test,best_test_fitness,best_solution_test_sensitivity,sfs_solution,sfs_validation_fitness,sfs_test_CAC,sfs_test_F1,sfs_size,sfs_test_sensitivity,no+5fold_solution,no+5fold_validation_fitness,no+5fold_test_CAC,no+5fold_test_F1,no+5fold_size,no+5fold_test_sensitivity
Biodegradeable,0,"1,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,0",22,0.8912165614544016,0.8154829261798576,0.8409090909090909,0.8253968253968255,0.8054574638844302,"1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,1,1,0",0.8620329239613274,0.8106060606060606,0.7817460317460317,13,0.7743178170144462,"1,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,1,1,0,0,0,1,1,1,0,1,0,0,1,1,1,0,1,1,0,0,1,1,1,0",0.8912165614544016,0.8409090909090909,0.8154829261798576,21,0.8054574638844302
Biodegradeable,1,"0,1,1,1,0,1,1,1,1,0,0,0,1,1,0,1,0,1,1,1,0,0,0,0,1,1,0,1,1,1,0,1,0,1,1,1,1,1,0,0,0",24,0.8706558662137444,0.8292169124355169,0.8522727272727273,0.8659393581994201,0.8195505617977528,"0,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,0,0,1,1,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,1",0.8457042665108123,0.8371212121212122,0.815159163070911,22,0.8108828250401284,"0,1,1,1,1,1,1,1,1,0,0,0,1,1,0,1,1,1,1,1,0,0,0,0,1,1,0,1,1,1,0,1,0,1,1,1,1,1,1,0,0",0.8667426524464708,0.8446969696969697,0.8192837465564737,27,0.8083146067415731
Biodegradeable,2,"1,1,0,1,1,1,1,0,0,0,1,0,0,0,0,1,1,0,1,1,1,0,1,0,0,0,1,0,0,1,1,1,1,0,0,0,1,0,1,1,0",21,0.8992817688722279,0.7585576169323229,0.7878787878787878,0.8380681818181819,0.754414125200642,"1,1,0,1,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,1,0,1,1,0",0.8986225895316804,0.8143939393939394,0.7893674183831313,18,0.7854574638844303,"1,1,0,1,1,1,1,0,0,0,1,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,1,0,1,1,1,1,0,0,0,1,0,1,1,1",0.8952380952380952,0.7992424242424242,0.7707995478893312,21,0.7657463884430176
Biodegradeable,3,"0,1,1,1,0,1,1,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1,1,1,1,0,1,1,0,0,1",20,0.8698652645415708,0.8467331265446946,0.8674242424242424,0.865108536203458,0.8365008025682183,"0,1,1,1,0,1,1,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,1,0,0,1",0.8369146005509642,0.8636363636363636,0.8397085610200364,18,0.8253611556982343,"0,1,1,0,0,1,1,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,0,0,1",0.8698652645415708,0.8674242424242424,0.8477031860361623,16,0.8392616372391652
Biodegradeable,4,"1,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,0,1,0,1,1,1,0,1,1,1,0,1,0",19,0.8486136409633678,0.8029425912717503,0.8295454545454546,0.842857142857143,0.7941252006420545,"1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,1,1,0,1,0",0.8319485392656124,0.8409090909090909,0.8166666666666667,18,0.8082182985553772,"1,1,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,0,1,0,1,1,1,0,1,1,1,0,1,0",0.8486136409633678,0.8295454545454546,0.8029425912717503,20,0.7941252006420545
Biodegradeable,5,"1,0,1,0,0,1,0,1,1,0,0,0,1,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,0,1,1,1,0,1,1,0,0,1,0,0,1",20,0.8714202220923437,0.8310473060624405,0.8598484848484849,0.8390005109525145,0.8114606741573034,"1,0,1,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,1,0,1,1,0,0,1,0,0,0",0.8675192229866451,0.8787878787878788,0.8533231474407945,16,0.8312680577849116,"1,0,1,0,0,1,0,1,1,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,1,1,1,0,1,1,0,0,1,0,0,1",0.8714202220923437,0.875,0.8493124621637983,18,0.8284109149277689
Biodegradeable,6,"0,1,1,1,0,1,1,0,1,1,1,0,1,1,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0",20,0.8965246929709956,0.8559229534510433,0.8712121212121212,0.8745884318639736,0.8559229534510433,"0,1,1,1,0,1,1,0,1,1,1,0,1,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0",0.8918865791930808,0.8712121212121212,0.8559229534510433,19,0.8559229534510433,"0,1,1,1,0,1,1,0,1,1,1,0,1,1,0,1,1,0,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0",0.8965246929709956,0.8712121212121212,0.8559229534510433,21,0.8559229534510433
Biodegradeable,7,"1,0,1,1,1,1,0,1,0,1,1,0,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,1,0",21,0.9137705774758296,0.7967467688829917,0.821969696969697,0.8534099817089105,0.7911717495987158,"1,0,1,0,1,1,0,1,0,1,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1",0.9057081628677187,0.8181818181818182,0.7930493859419911,16,0.788314606741573,"1,0,1,1,0,1,0,1,0,1,1,0,1,1,0,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0",0.9137705774758296,0.8257575757575758,0.8028443405415936,20,0.7995505617977527
Biodegradeable,8,"1,0,1,1,0,0,1,1,1,1,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0",17,0.8879017507185786,0.8418777822743828,0.8598484848484849,0.8295454545454546,0.8390690208667737,"1,1,1,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0",0.8738112112871059,0.8636363636363636,0.8465909090909092,15,0.8446869983948635,"1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0",0.8839371489049906,0.8446969696969697,0.823756411300171,18,0.8193579454253612
Biodegradeable,9,"0,1,0,1,1,0,0,1,1,0,1,0,1,1,0,1,0,1,1,1,1,0,1,0,1,0,0,0,0,1,1,1,1,1,1,0,1,1,0,0,0",23,0.8611896155110088,0.8369208838203849,0.8522727272727273,0.8620329239613274,0.8416372391653291,"0,1,0,1,1,1,0,1,1,1,1,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0,0,1,1,0,0,0",0.8477031860361623,0.8522727272727273,0.8351875270125338,19,0.836115569823435,"0,1,0,1,1,1,1,1,1,0,0,0,1,1,0,1,0,0,1,1,1,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0",0.8545454545454545,0.8371212121212122,0.8192558154345854,19,0.8219261637239166
Biodegradeable,10,"1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,0,1,0,1,1,0,1,0,0,1,0,0,1,0",17,0.8958922116332566,0.8041898106179228,0.8295454545454546,0.8226939898766524,0.7968860353130016,"1,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0",0.8745884318639736,0.8371212121212122,0.8117006983263391,14,0.8026003210272874,"1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,1,0,1,1,0,0,1,1",0.8918865791930808,0.8333333333333334,0.807936507936508,23,0.7997431781701445
Biodegradeable,11,"0,0,1,1,0,0,1,1,1,0,1,0,1,1,0,1,1,1,0,1,0,0,1,1,1,0,1,0,0,1,1,1,1,0,1,0,0,1,0,1,0",23,0.8706558662137444,0.7975149562816382,0.8295454545454546,0.8589720760825577,0.7830818619582665,"0,0,1,1,0,1,1,1,1,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,1,1,1,0,0,1,1,0,0,0,1,0,0,1,0,1,0",0.8418425081541636,0.821969696969697,0.7885156210052667,19,0.7746067415730338,"0,1,1,0,0,0,1,1,1,0,1,0,1,1,0,1,1,1,1,1,0,0,1,0,1,0,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0",0.8659393581994201,0.8333333333333334,0.8054140980970248,22,0.7942215088282504
Biodegradeable,12,"1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1,0,1,1,0,1,1,1,1,0,0,1,1,1,1,0,1,0",24,0.9068156987982183,0.7930493859419911,0.8181818181818182,0.8659393581994201,0.788314606741573,"1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,1,0,1,0",0.8842339607366929,0.821969696969697,0.7900045695330614,16,0.7773675762439807,"1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,1,1,1,1,0,0,1,1,1,1,0,1,0",0.9068156987982183,0.8068181818181818,0.7807701701538712,21,0.7769823434991974
Biodegradeable,13,"0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0,1,0,0,1,1,0,0,0,1,1,1,0,0,0",17,0.8690476190476191,0.8218984011333739,0.8484848484848485,0.8603174603174604,0.8084109149277688,"0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0",0.8467331265446946,0.875,0.8525563998849155,9,0.8366934189406099,"0,0,1,1,0,1,1,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,1",0.865108536203458,0.8674242424242424,0.8446928313303639,16,0.8309791332263242
Biodegradeable,14,"1,1,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,0,1,0,1,1,1,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,1,0",20,0.8467331265446946,0.8189182126992423,0.8409090909090909,0.8447870394564932,0.8137399678972712,"1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1",0.8117006983263391,0.8333333333333334,0.807936507936508,14,0.7997431781701445,"1,1,0,0,0,0,1,1,1,1,1,0,1,0,0,0,0,1,0,1,0,1,1,1,1,0,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0",0.842857142857143,0.8446969696969697,0.823756411300171,20,0.8193579454253612
