Biodegradeable
7.2
7.2,4.133333333333334
7.2,4.133333333333334,38.833333333333336
7.2,4.133333333333334,38.833333333333336,1.0
7.2,4.133333333333334,38.833333333333336,1.0,14.1
7.2,4.133333333333334,38.833333333333336,1.0,14.1,2.966666666666667
7.2,4.133333333333334,38.833333333333336,1.0,14.1,2.966666666666667,14.566666666666666
22.1
22.1,11.133333333333333
22.1,11.133333333333333,113.4
22.1,11.133333333333333,113.4,4.733333333333333
22.1,11.133333333333333,113.4,4.733333333333333,31.333333333333332
22.1,11.133333333333333,113.4,4.733333333333333,31.333333333333332,1.5666666666666667
22.1,11.133333333333333,113.4,4.733333333333333,31.333333333333332,1.5666666666666667,2.1
22.1,11.133333333333333,113.4,4.733333333333333,31.333333333333332,1.5666666666666667,2.1,266.56666666666666
22.1,11.133333333333333,113.4,4.733333333333333,31.333333333333332,1.5666666666666667,2.1,266.56666666666666,5.9
22.1,11.133333333333333,113.4,4.733333333333333,31.333333333333332,1.5666666666666667,2.1,266.56666666666666,5.9,7.266666666666667
22.1,11.133333333333333,113.4,4.733333333333333,31.333333333333332,1.5666666666666667,2.1,266.56666666666666,5.9,7.266666666666667,104.9
22.1,11.133333333333333,113.4,4.733333333333333,31.333333333333332,1.5666666666666667,2.1,266.56666666666666,5.9,7.266666666666667,104.9,73.53333333333333
22.1,11.133333333333333,113.4,4.733333333333333,31.333333333333332,1.5666666666666667,2.1,266.56666666666666,5.9,7.266666666666667,104.9,73.53333333333333,2.3
