dataset,best_solution,union_solution,sfs_intersection_solution,intersection_solution,majority_voting
Biodegradeable,0.021166271770390536,0.07686552330877758,0.042796442768308185,0.04797795440158227,0.02440185291273174
Breastcancer,0.020814281503936684,nan,0.034226367502229536,nan,0.021002560657733066
Clean2,0.021783987330232863,0.028193568052306547,0.02526213032969527,0.02031573625640331,0.021627888821322546
Climate,0.15755792738551364,nan,0.33697682904579435,nan,0.1712324393358877
German_credit,0.03526112785222803,0.04675346036184055,0.04018760507663459,0.045103765553513135,0.036189679111176036
Hepatitis,0.02421355111917725,nan,0.1420989254746061,nan,0.027844275439556712
Ionosphere,0.06385208510969165,0.02885499464099868,0.10157073487702284,0.14057004410959778,0.05529470566995919
Madelon,0.006994108592952351,0.0059860034096914675,0.007564004334661273,0.007310651714741444,0.007092326533823553
Uci_imageseg,0.12959573262658555,0.25513006654567405,0.19060188786141602,0.3079343473626596,0.12424519152286842
Uci_parkinsons,0.008508400922194027,nan,0.04663813836227633,0.11196098920236852,0.007589026554543794
Uci_voice,0.0029306893490943326,0.0026567386208994352,0.012219966388477933,0.005319667007963737,0.003065165277067706
Urbanland,0.015789066613893822,0.022393965118899434,0.016694334664181954,0.01594446646531439,0.015614402862421715
Wine,0.10632478632478634,nan,0.17492189802534666,nan,0.12389920424403197
