dataset,best_solution,union_solution,sfs_intersection_solution,intersection_solution,majority_voting
Biodegradeable,0.03647384965819946,0.039768594953624385,0.06540688426711498,0.07431306680057492,0.03873312474031264
Breastcancer,0.015845801707870675,nan,0.047776010707045194,nan,0.017615220029013126
Clean2,0.01945441168068804,0.019050279424677335,0.026107425978453825,0.024630565573723225,0.020459879936116514
Climate,0.19954844006568134,nan,0.4129237365444257,0.668288633461047,0.21294927932858965
German_credit,0.034273647971730554,0.03834192291585122,0.047826426699994776,0.056149821834800766,0.03272920233188012
Hepatitis,0.07256200846944949,nan,0.21674732809034125,nan,0.08768444098752631
Ionosphere,0.036027660079384204,0.015641316087563542,0.08223456788872609,0.07506477895930237,0.04446636190043894
Madelon,0.006818900262571764,0.006050533067159419,0.00768784121633518,0.00899778257404995,0.006936416634267403
Uci_imageseg,0.10499284609992418,0.22725549505948653,0.19138699238517762,0.4268856048166388,0.10668217478562304
Uci_parkinsons,0.049229901643694646,nan,0.21368338557993724,nan,0.045489376523859294
Uci_voice,0.0031740833355895976,-0.002216564551111949,0.05843302022520362,nan,0.00384013188466604
Urbanland,0.01995085204386149,0.019371177450296588,0.031575762819345286,0.026968735852445618,0.019200600782947063
Wine,0.05114058355437663,nan,0.21218096080165072,nan,0.05542882404951373
