dataset,best_solution,sfs_solution,no+5fold_solution
Biodegradeable,0.058617983971527864,0.11415399705197574,0.0573222058854872
Breastcancer,0.03140061726268621,0.1092689877172635,0.03373177269728991
Clean2,0.05827065911671893,0.2723847135066675,0.06827251438453859
Climate,0.2508939974457217,0.4020288268564133,0.34774949826673945
German_credit,0.09172810215868388,0.19794279027858444,0.09940368042860667
Hepatitis,0.03419386589078058,0.19339757439575994,0.11701523924754406
Ionosphere,0.1316369386754783,0.31533066100003193,0.1645791294574256
Madelon,0.02064825573128067,0.5169830794929005,0.019976373124037144
Uci_imageseg,0.17254582817196254,0.26388130287404316,0.19770691095554976
Uci_parkinsons,0.03747018626328972,0.08958625665522217,0.03388449353966594
Uci_voice,0.0018526172012571767,0.2444421830371904,0.006552023002978659
Urbanland,0.039221565813169046,0.3390443210972634,0.04831488737487376
Wine,0.1095549661066904,0.32360153256704943,0.22717064544650772
