dataset,best_solution,sfs_solution,no+5fold_solution
Biodegradeable,0.03647384965819946,0.08198067083165131,0.05360688468540504
Breastcancer,0.015845801707870675,0.06994425753046443,0.021418275211378672
Clean2,0.01945441168068804,0.02377901384043617,0.02257245513158783
Climate,0.19954844006568134,0.4167496807151974,0.25370826491516135
German_credit,0.034273647971730554,0.046254662509256764,0.03606268140250471
Hepatitis,0.07256200846944949,0.19911675741076865,0.09389354612585103
Ionosphere,0.036027660079384204,0.103985014121931,0.06501378382717131
Madelon,0.006818900262571764,0.007737180586492199,0.006809664870510827
Uci_imageseg,0.10499284609992418,0.19606780360863857,0.15998641239113107
Uci_parkinsons,0.049229901643694646,0.20929765636662168,0.08876540445505965
Uci_voice,0.0031740833355895976,0.0838300265589905,0.00505121096647455
Urbanland,0.01995085204386149,0.032148226177096305,0.022328451623973594
Wine,0.05114058355437663,0.2905688181550247,0.18095195991747726
