dataset,best_solution,union_solution,sfs_intersection_solution,intersection_solution,majority_voting
Biodegradeable,0.04070126978164927,0.08974229725008921,0.045824430687585474,0.03901212575917754,0.03915960220949584
Breastcancer,0.06673782794472452,0.10523353402663743,0.09160032815205237,0.04244004399176814,0.07505323539806304
Clean2,0.027539537907621283,0.03140361169384291,0.03863780748999023,0.030300592428622784,0.02750127872464283
Climate,0.17441251596424012,0.12804597701149423,0.3574137931034483,nan,0.1766301769750044
German_credit,0.06549458120625808,0.07656501359971983,0.04081966469287515,0.032340523269506594,0.057064914969158914
Hepatitis,0.05747068821478987,0.2490219802379499,0.0775355534429945,nan,0.08076585141013448
Ionosphere,0.05587201469554413,0.08175011657263191,0.11199588031231039,nan,0.057511069990786076
Madelon,0.019128057403735427,0.03779119093464531,0.014680699416538687,0.01086123862696726,0.019930232854695577
Uci_imageseg,0.14021826597144202,0.4950180047820687,0.2440559732664999,nan,0.15465656478360673
Uci_parkinsons,0.09719576719576718,0.4683726426829877,0.13475012854323196,0.20919639747225946,0.1233077905491699
Uci_voice,0.022144164519493813,0.049948501224236226,0.026462034568797012,0.01474825151990081,0.020381627827788375
Urbanland,0.04506854554537773,0.051990400926012974,0.04359129321825229,0.02990678206810877,0.04564770312489543
Wine,0.11840848806366058,0.26569407603890116,0.1570910698496905,nan,0.18928971411730044
