dataset,best_solution,union_solution,sfs_intersection_solution,intersection_solution,majority_voting
Biodegradeable,0.19852597117539297,0.35100936187692516,0.23381575237605232,0.27622837026537606,0.2190798824539941
Breastcancer,0.1913713872334562,nan,0.3008438241196867,0.3254406130268193,0.2237899839623977
Clean2,0.10706495530597421,0.1481310064680378,0.14070040156240685,0.199137336120231,0.11640833261720421
Climate,0.09410326582740376,nan,0.3134829410691477,0.5760791826309072,0.10736270753512134
German_credit,0.07012277324375209,0.09514891397556459,0.10935304639266284,0.14052086306754294,0.0715664684200776
Hepatitis,0.10196540201077399,0.36812375767003697,0.09737562296545982,nan,0.12320744389709902
Ionosphere,0.1296190836809498,nan,0.2300535089581742,0.3155227148330596,0.15528284483152646
Madelon,0.010777369004632881,0.019374963401634727,0.03492998044705856,0.038312696922615255,0.013787471159597657
Uci_imageseg,0.2449949106482681,0.5583262754587593,0.3444185175582635,nan,0.3195745109901188
Uci_parkinsons,0.24994957788061217,0.09268265578610377,0.2655316713937393,nan,0.3128803635700186
Uci_voice,0.006309513436686325,nan,0.1175896984781838,nan,0.012191586743769743
Urbanland,0.05029622428436575,0.04696863490152453,0.12320920752615623,0.12894435523094852,0.06033524114844941
Wine,0.1542351900972591,nan,0.28953728264073164,nan,0.28976422045387595
