dataset,best_solution,union_solution,sfs_intersection_solution,intersection_solution,majority_voting
Biodegradeable,0.10181031732397834,0.16921936839873317,0.10974738292322463,0.11429971638686975,0.10651156372538131
Breastcancer,0.12505316522557916,0.19743655450552003,0.18822102546240502,0.15666119321291744,0.12889949131328451
Clean2,0.041816439837019305,0.042515417376545954,0.04746701587648907,0.048367060835982856,0.04121373152230605
Climate,0.1029885057471264,nan,0.2415809158912605,0.5007151979565776,0.11194125159642397
German_credit,0.043966540397672775,0.04774748058703581,0.0612553493798281,0.0683009525304364,0.047281707985535305
Hepatitis,0.041934529811117796,nan,0.07487295825771328,nan,0.050194691710118235
Ionosphere,0.07581827157892064,0.05039236925646662,0.14213098936222682,0.15524456761779282,0.07732643924327504
Madelon,0.004120762778526136,0.0030189397752627667,0.005004180717771993,0.0059727845321401775,0.004252799323539718
Uci_imageseg,0.19821594215423616,0.36980900527180033,0.3184972968820517,nan,0.21927284686812817
Uci_parkinsons,0.17963137118309538,0.09077018128742251,0.20484748967507604,nan,0.18045977011494246
Uci_voice,-0.000492459394498413,nan,0.05328670908226162,nan,9.509411493613883e-05
Urbanland,0.023351451454172886,0.022740008495312204,0.02857713196571566,0.02663351120757615,0.02466474831561631
Wine,0.12450928381962877,nan,0.3054524020041265,nan,0.15992042440318305
