dataset,best_solution,sfs_solution,no+5fold_solution
Biodegradeable,0.06034997958872511,0.11974458645197512,0.06804072881125946
Breastcancer,0.052267362267362304,0.1353934826348619,0.07025246783867475
Clean2,0.09596500938364129,0.21387035999473095,0.10790252226572214
Climate,0.19097336252508676,0.2978005838350667,0.3647810618500271
German_credit,0.05094337247846277,0.1446772620232774,0.07301152026971536
Hepatitis,0.059313225592717456,0.12473544973544956,0.10952212907748295
Ionosphere,0.06534285525157739,0.28073793571765143,0.1159485803806291
Madelon,0.013159272543357607,0.23785841515031353,0.01637914264084994
Uci_imageseg,0.14482556967130464,0.26623474394799274,0.15238397718433982
Uci_parkinsons,0.05036829709243506,0.12510449320794148,0.06971803420079281
Uci_voice,0.007868753565511297,0.2175910688600142,0.007718368505008012
Urbanland,0.03606114999696477,0.36089130028595207,0.043113997275209946
Wine,0.061355732390215065,nan,0.1956086059534338
