dataset,best_solution,union_solution,sfs_intersection_solution,intersection_solution,majority_voting
Biodegradeable,0.07344939010923252,0.14221304855426448,0.12168649657736935,0.18858058359109664,0.08087543814047338
Breastcancer,0.050535384156073816,nan,0.09962615928133169,nan,0.06479407565614456
Clean2,0.08690395855652756,0.09011149209725541,0.12628020255295666,0.1591024308980564,0.09565450542929851
Climate,0.2837602627257794,nan,0.4238989235540955,0.7530651340996133,0.3872952016055457
German_credit,0.07577122322659954,0.08793461579986563,0.09493744730657193,0.13296961264425716,0.07558434037125697
Hepatitis,0.10884270062128495,nan,0.28390862213003837,nan,0.17629010265126405
Ionosphere,0.08319752818738611,0.050738365008141814,0.14071181654345954,0.19289835474419587,0.1048768480411483
Madelon,0.016067538545105193,0.01030340975627699,0.07235403117370008,0.031995394618761976,0.01926400201735546
Uci_imageseg,0.16469574318939112,0.4326376285541421,0.2550883914767762,0.5436499294212525,0.19579624348226904
Uci_parkinsons,0.10266955266955256,nan,0.29098223615465013,nan,0.07930545189165883
Uci_voice,0.01608214460030295,nan,0.17458285340416252,nan,0.019889551274972713
Urbanland,0.04870089726112792,0.059357519298730343,0.11871646219878834,0.11189315132821678,0.056125746604250626
Wine,0.050400825228411425,nan,0.226607721780136,nan,0.18510167992926646
