dataset,best_solution,sfs_solution,no+5fold_solution
Biodegradeable,0.07344939010923252,0.12304627390527038,0.09566897931604604
Breastcancer,0.050535384156073816,0.1303271441202476,0.036448015585946604
Clean2,0.08690395855652756,0.12694521202095285,0.09422089069783486
Climate,0.2837602627257794,0.40618044152526905,0.32396825396825357
German_credit,0.07577122322659954,0.10652126183612007,0.08033229240843126
Hepatitis,0.10884270062128495,0.1482960274248844,0.17392902754971734
Ionosphere,0.08319752818738611,0.14567699523074798,0.12029299188528399
Madelon,0.016067538545105193,0.06831068005983273,0.017264504382908594
Uci_imageseg,0.16469574318939112,0.29199915497556134,0.22264540661999835
Uci_parkinsons,0.10266955266955256,0.2679605579605579,0.14865013020185433
Uci_voice,0.01608214460030295,0.1975357686908639,0.01951254130882154
Urbanland,0.04870089726112792,0.12062214112826546,0.0576312427825377
Wine,0.050400825228411425,0.36545534924845224,0.19503978779840836
