dataset,f_score_val,f_score_test,accuracy,mcr,size,asm
Biodegradeable,0.8746,0.8051,0.8224,0.1776,21.2667,0.0815
Climate,0.8341,0.6518,0.9284,0.0716,7.7667,0.2482
Connectionistbench,0.8965,0.7459,0.7513,0.2487,29.5333,0.0704
Hepatitis,0.8248,0.7499,0.8611,0.1389,10.0333,0.1149
Ionosphere,0.8901,0.8591,0.8821,0.1179,13.0667,0.117
Sonar,0.9149,0.7466,0.7508,0.2492,28.0667,0.0686
Uci_imageseg,0.8887,0.8179,0.8148,0.1852,11.8333,0.19
Uci_libras,0.7677,0.6249,0.6512,0.3488,44.1667,0.0386
Uci_muskv1,0.857,0.7792,0.7795,0.2205,80.0,0.0281
Uci_parkinsons,0.902,0.835,0.8768,0.1232,12.5,0.1139
Uci_vehicle,0.7349,0.7149,0.7155,0.2845,10.6667,0.2101
Uci_voice,0.9575,0.7102,0.75,0.25,155.5,0.0069
Urbanland,0.8315,0.7823,0.8108,0.1892,72.7333,0.0208
Wine,0.9846,0.9517,0.9512,0.0488,6.5333,0.1484

