dataset,f_score_val,f_score_test,accuracy,mcr,size,asm
Biodegradeable,0.8827,0.81,0.8272,0.1728,21.1333,0.1239
Climate,0.857,0.6583,0.928,0.072,7.8,0.2717
Connectionistbench,0.9238,0.7416,0.7471,0.2529,20.4,0.0746
Hepatitis,0.8499,0.8016,0.8903,0.1097,7.7667,0.1668
Ionosphere,0.9075,0.8653,0.8849,0.1151,7.8333,0.0844
Sonar,0.9129,0.739,0.7429,0.2571,24.7,0.0599
Uci_imageseg,0.8909,0.8129,0.8101,0.1899,13.6333,0.1893
Uci_libras,0.7771,0.6288,0.6525,0.3475,40.7,0.0519
Uci_muskv1,0.8756,0.788,0.7888,0.2112,53.0333,0.0233
Uci_parkinsons,0.92,0.7714,0.826,0.174,10.8667,0.2297
Uci_vehicle,0.7402,0.7158,0.7161,0.2839,11.8,0.4171
Uci_voice,0.9441,0.7085,0.7474,0.2526,142.8,0.015
Urbanland,0.8437,0.7842,0.8092,0.1908,63.8667,0.0466
Wine,0.9902,0.9807,0.9809,0.0191,6.1333,0.3111

