dataset,f_score_val,f_score_test,accuracy,mcr,size,asm
Biodegradeable,0.8793,0.8083,0.8261,0.1739,21.6667,0.0587
Climate,0.952,0.6238,0.9245,0.0755,8.4667,0.2034
Connectionistbench,0.8988,0.7456,0.7529,0.2471,13.1333,0.058
Hepatitis,0.9375,0.834,0.8958,0.1042,3.2,0.4044
Ionosphere,0.9142,0.8783,0.8934,0.1066,3.8333,0.1554
Sonar,0.8953,0.749,0.7534,0.2466,14.0667,0.0815
Uci_imageseg,0.8818,0.8182,0.8169,0.1831,12.2333,0.1873
Uci_libras,0.7692,0.6343,0.6599,0.3401,35.4333,0.0507
Uci_muskv1,0.8748,0.7958,0.7967,0.2033,31.2667,0.0456
Uci_parkinsons,0.9237,0.8239,0.8678,0.1322,9.8,0.1496
Uci_vehicle,0.7298,0.7046,0.705,0.295,11.0333,0.1736
Uci_voice,0.9589,0.7165,0.7561,0.2439,69.8,0.0199
Urbanland,0.8374,0.7895,0.8148,0.1852,52.1,0.0479
Wine,0.9797,0.9364,0.9352,0.0648,5.5667,0.1225

