dataset,wrapper_duration,archive_duration,archive_aggregation_duration
Biodegradeable,135.1050640185674,131.50372791290283,0.8095702091852824
Breastcancer,58.33611215750376,56.963985188802084,0.34489951133728025
Clean2,3491.025272981326,3360.3481685558954,96.84753858248392
Climate,52.93704784711202,51.762901488939924,0.18333470026652018
German_credit,165.69556670188905,160.96543961366018,1.3429270188013713
Ionosphere,63.341598955790204,61.889419770240785,0.3187713543574015
Madelon,7768.219869836172,7283.437023893992,380.8573672771454
Uci_imageseg,71.72653432687123,70.18455119132996,0.18125155766805012
Uci_parkinsons,64.12643195788065,62.74128368695577,0.17017266750335694
Uci_voice,71.56366790135702,68.41466406186422,2.789061117172241
Urbanland,228.2342425584793,220.36629778544108,3.6212441047032673
Wine,61.33733716805776,60.08667519887288,0.13172331651051838

