dataset,wrapper_duration,archive_duration,archive_aggregation_duration
Biodegradeable,228.9009179989497,222.66886558532715,0.7118281920750936
Breastcancer,128.635120956103,125.35094491640727,0.6315427621205648
Clean2,4095.449645638466,3946.8824808597565,68.73757890065511
Climate,115.8641770362854,113.03981175422669,0.4590055227279663
German_credit,246.74399123191833,239.66081113815306,1.087879721323649
Ionosphere,108.35810724099477,105.6376855691274,0.49007816314697267
Madelon,6197.534948825836,5795.202111323674,165.24833099842073
Uci_imageseg,99.71065998077393,97.39571177164713,0.20951398213704428
Uci_parkinsons,98.37588868935903,96.0552971124649,0.2676617940266927
Uci_voice,104.32461153666178,99.46809317270915,3.9936044692993162
Urbanland,294.0468677600225,283.7295018355052,3.5127965211868286
Wine,91.36302530765533,89.39604862531026,0.20271312395731608

