dataset,wrapper_duration,archive_duration,archive_aggregation_duration
Biodegradeable,234.0770567337672,229.5386200348536,0.820208462079366
Breastcancer,119.00190684000651,116.81189375718435,0.5669281482696533
Clean2,5772.155873656273,5601.593238353729,30.723061498006185
Climate,107.6908408164978,105.82900060017904,0.3807583491007487
German_credit,245.72927592595417,240.6116909424464,1.0495260159174602
Ionosphere,79.95202842553456,78.50508997440338,0.38081632455190023
Madelon,5885.468051918348,5546.954837942123,34.29100577831268
Uci_imageseg,67.63407158056894,66.50971539020539,0.2008080244064331
Uci_parkinsons,84.4560029665629,82.98835758368175,0.23305705388387044
Uci_voice,124.85414575735727,119.98600924809774,2.0318976640701294
Urbanland,298.8026942332586,290.61599785486857,1.0477083683013917
Wine,76.07432556947073,74.78522008260092,0.1899099588394165

