dataset,wrapper_duration,archive_duration,archive_aggregation_duration
Biodegradeable,64.38388378620148,59.363657061258955,0.4299315849939982
Breastcancer,61.505253648757936,57.005510330200195,0.2793288628260295
Clean2,234.79007433255512,207.57545069853464,3.061893630027771
Climate,59.73671596844991,55.55137081940969,0.1691049337387085
German_credit,68.28208584785462,62.71938033103943,0.6075037956237793
Ionosphere,59.44900732040405,55.19130888779958,0.31110305786132814
Madelon,211.29619700113932,157.6237530152003,6.697619001070659
Uci_imageseg,63.34431305726369,58.85604556401571,0.2068797508875529
Uci_parkinsons,56.92373433113098,53.039919924736026,0.20401384830474853
Uci_voice,61.733091425895694,51.666908772786456,2.845679505666097
Urbanland,82.49833048184713,74.47794698079427,2.1752273718516033
Wine,56.20997227827708,52.46592251459757,0.12059381008148193

