dataset,wrapper_duration,archive_duration,archive_aggregation_duration
Biodegradeable,53.23793960412343,51.917379188537595,0.28466846148173014
Breastcancer,49.420057050387065,48.307560149828596,0.21190272172292074
Clean2,202.28990310033163,194.21030476093293,4.151795729001363
Climate,47.06053733030955,46.053361519177756,0.13329688707987467
German_credit,50.99357372919719,49.62828737894694,0.5355782667795818
Ionosphere,57.03979184627533,55.78115004698436,0.23937456607818602
Madelon,258.38887271881106,241.71656588713327,6.81573977470398
Uci_imageseg,72.45144933859507,70.8627832810084,0.1498274803161621
Uci_parkinsons,62.90453181266785,61.562690083185835,0.1628149191538493
Uci_voice,69.97894028822581,66.91111680666606,2.900461037953695
Urbanland,97.93951644102732,94.68033448855083,2.062138819694519
Wine,61.473166314760846,60.212966561317444,0.11817493438720703

