dataset,wrapper_duration,archive_duration,archive_aggregation_duration
Biodegradeable,43.68166125615438,42.806444144248964,0.14873313109079997
Breastcancer,39.350987044970196,38.6450071255366,0.1663697640101115
Clean2,197.13860173225402,190.9092336098353,1.011495876312256
Climate,36.40884459018707,35.775325099627175,0.1282964547475179
German_credit,44.03211627006531,43.13090171813965,0.1835091511408488
Ionosphere,36.13657185236613,35.499581257502236,0.15746931234995523
Madelon,274.047289220492,258.6253228743871,1.2351139227549235
Uci_imageseg,45.16741391023,44.42753617763519,0.1508685827255249
Uci_parkinsons,50.083688886960346,49.206546092033385,0.15183610916137696
Uci_voice,87.65754621823629,84.36607699394226,2.472526772816976
Urbanland,95.21448146502176,92.71912638346355,0.39258869489034015
Wine,47.09541908899943,46.29588525295257,0.11942692597707112

