dataset,wrapper_duration,archive_duration,archive_aggregation_duration
Biodegradeable,252.01910019715626,245.1762841542562,1.355306084950765
Breastcancer,133.84406421979267,130.4809087753296,0.7559380451838176
Clean2,5854.768780223529,5632.01584092776,126.58368855317434
Climate,122.142871038119,119.20981875260671,0.4429333686828613
German_credit,259.9986328919729,252.48151512145995,2.7993434826533
Ionosphere,115.21386867364248,112.38158478736878,0.5421419541041056
Madelon,6045.830159362157,5640.068010210991,65.74405364195506
Uci_imageseg,104.20438709259034,101.83090251286825,0.20508364836374918
Uci_parkinsons,99.70351841449738,97.39007937113443,0.2368366003036499
Uci_voice,109.04289724032084,104.02107701301574,4.401504643758138
Urbanland,305.74469873905184,294.92746754487354,5.11625661055247
Wine,92.03925313154856,90.01072266896566,0.19590940475463867

