dataset,best_solution,union_solution,sfs_intersection_solution,intersection_solution,majority_voting
Biodegradeable,0.14507152638158083,0.20620743402517488,0.13937416455572438,0.16483313303748026,0.14699283382993966
Breastcancer,0.1845209196933335,0.30845087862329273,0.23379709690054526,0.2920434227330778,0.19729611384783802
Clean2,0.08611618417652965,0.09106542652203065,0.09168587752489547,0.07992690194599644,0.08779174714346641
Climate,0.201476920270024,nan,0.27659642401021706,0.48213282247765027,0.2417998540412333
German_credit,0.10622094268707398,0.16323256265465644,0.10242142847518514,0.12102090566559794,0.10575627206989259
Hepatitis,0.20440065681444977,nan,0.23341457091003423,nan,0.19784288306974313
Ionosphere,0.12712229622980148,0.13296211413858489,0.25170899343313125,0.33421086651309745,0.135015780740933
Sonar,0.05546223772072917,0.09161432940699933,0.09211706470050149,0.08117483999658236,0.05563964460662665
Spect,0.19882121709707962,0.31028511718166885,0.32245260486639776,0.4330225904363837,0.1945849297573436
Uci_imageseg,0.23359380251394776,0.46766888485581676,0.39432013942903316,nan,0.23859241014413413
Uci_libras,0.03559668745717488,0.03413477119855869,0.025431155917143868,0.026718077955649067,0.03280967836324484
Uci_parkinsons,0.2236852929956377,0.20731137317344198,0.23895473619611546,nan,0.2530939111973596
Uci_voice,0.018185439830630444,0.02323967930108957,0.032109708136669364,0.030203145343983905,0.02197189026519326
Urbanland,0.028210213400536456,0.03381941630334414,0.03926051928467022,0.033915001932122955,0.029007947798808595
Wine,0.24531388152077876,nan,0.2421043324491602,nan,0.25662835249042165
