dataset,run,best_solution,best_solution_size,validation_fitness,F1_test,CAC_test,best_test_fitness,best_solution_test_sensitivity,majority_voting,majority_voting_validation_fitness,majority_voting_test_CAC,majority_voting_test_F1,majority_voting_size,majority_voting_test_sensitivity,sfs_intersection_solution,sfs_intersection_validation_fitness,sfs_intersection_test_CAC,sfs_intersection_test_F1,sfs_intersection_size,sfs_intersection_test_sensitivity,duration,intersection_solution,intersection_validation_fitness,intersection_test_CAC,intersection_test_F1,intersection_size,intersection_test_sensitivity,union_solution,union_validation_fitness,unions_test_CAC,unions_test_F1,union_size,union_test_sensitivity
Climate,26,"1,1,0,0,1,1,0,1,1,0,1,0,1,1,1,1,0,0",11,0.8809523809523809,0.5555222987129602,0.9185185185185185,0.8214285714285714,0.5416666666666666,"1,1,0,0,1,1,1,0,1,0,1,0,1,1,1,0,0,0",0.8006889763779528,0.9407407407407408,0.734251968503937,10,0.6666666666666666,"1,1,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0",0.7619047619047619,0.9407407407407408,0.734251968503937,6,0.6666666666666666,0.39309024810791016,"1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",0.7023809523809523,0.9037037037037037,0.6643717728055079,2,0.6463414634146342,"1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0",0.8006889763779528,0.9111111111111111,0.47674418604651164,15,0.5
Climate,27,"1,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0",6,0.8709122203098107,0.6678149606299213,0.9259259259259259,0.7802836549639618,0.6209349593495934,"1,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0",0.8709122203098107,0.9259259259259259,0.6678149606299213,6,0.6209349593495934,"1,1,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0",0.7619047619047619,0.9407407407407408,0.734251968503937,6,0.6666666666666666,0.4170970916748047,"1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0",0.7619047619047619,0.9333333333333333,0.7452296078842524,3,0.7002032520325203,"1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1",0.47470817120622566,0.9185185185185185,0.5555222987129602,17,0.5416666666666666
Climate,28,"1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0",6,0.892,0.6678149606299213,0.9259259259259259,0.7802836549639618,0.6209349593495934,"1,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0",0.8709122203098107,0.9259259259259259,0.6678149606299213,6,0.6209349593495934,"1,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0",0.8006889763779528,0.9333333333333333,0.7175075563822366,6,0.6626016260162602,0.38908815383911133,"1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0",0.6547314578005115,0.9407407407407408,0.734251968503937,3,0.6666666666666666,"1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0",0.563953488372093,0.9111111111111111,0.47674418604651164,16,0.5
Climate,29,"1,1,0,0,1,1,0,1,0,0,1,0,1,1,1,1,1,0",11,0.8809523809523809,0.5555222987129602,0.9185185185185185,0.7802836549639618,0.5416666666666666,"1,1,0,0,0,1,0,1,1,0,1,0,1,1,1,0,0,0",0.6986607142857143,0.9185185185185185,0.5555222987129602,9,0.5416666666666666,"1,1,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0",0.7619047619047619,0.9407407407407408,0.734251968503937,6,0.6666666666666666,0.4190952777862549,"1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0",0.6547314578005115,0.9407407407407408,0.734251968503937,3,0.6666666666666666,"1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1",0.47470817120622566,0.9185185185185185,0.5555222987129602,17,0.5416666666666666
German_credit,0,"1,1,0,0,0,0,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,0,1,0,0,1,1,1,1,0,0,0,1,1,0,1,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0",29,0.8104935362930488,0.6710805534334947,0.752,0.6924603174603174,0.6590476190476191,"1,1,0,0,0,0,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,0,1,0,0,1,1,1,1,0,0,0,1,1,0,1,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1",0.8062963869178696,0.752,0.6744791666666667,30,0.6628571428571428,"1,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,1,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1",0.7756710362047441,0.732,0.6745993200582808,24,0.6714285714285715,1.602363109588623,"1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0",0.7246046109056574,0.724,0.6465960541681178,18,0.6390476190476191,"1,1,0,0,1,0,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,0,1,1,0,0,1,1,0,0,1,1,1,0,1,0,1,1",0.7197533829770197,0.716,0.6291188700139995,42,0.6219047619047618
German_credit,1,"0,1,1,1,0,0,1,1,1,1,1,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,1,1,0,1,1,1,0,0,0,0,1,1,1,1",30,0.7878959276018099,0.6428571428571429,0.712,0.6718967307202601,0.638095238095238,"0,1,1,1,0,0,1,1,1,1,1,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,1,1,0,1,1,1,0,0,0,0,1,1,1,1",0.7878959276018099,0.712,0.6428571428571429,30,0.638095238095238,"0,1,1,1,0,0,0,1,1,1,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,1,0,0,0,0,1,1,0,1",0.7328800388538126,0.712,0.6329826278443846,24,0.6266666666666667,1.4913406372070312,"0,0,0,1,0,0,0,1,1,1,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,1,0,1",0.7127573411689363,0.688,0.6313520871143375,19,0.6323809523809524,"0,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,0,1,1,0,0,1,0,0,0,1,0,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1",0.6777546777546778,0.696,0.6088603425559947,41,0.6038095238095238
German_credit,2,"1,1,0,1,0,0,0,1,1,0,1,0,1,1,0,0,1,1,0,1,0,0,1,0,1,1,1,0,1,1,0,0,0,1,1,1,0,0,1,0,0,0,1,0,1,1,1,0,1,0,0,0,1,1,0,1,0,0,0,1,1",31,0.7757116059049016,0.6227877008400621,0.704,0.6600710299340437,0.6171428571428572,"0,0,0,1,1,0,0,1,1,0,1,0,1,1,0,0,1,1,0,1,0,0,1,0,1,1,1,0,1,1,0,0,0,1,1,1,0,0,1,0,0,1,1,0,1,1,1,0,1,0,1,0,1,1,0,1,0,0,0,1,1",0.7597886139803027,0.72,0.6464932126696833,32,0.64,"0,0,0,1,0,0,0,1,1,1,1,0,1,1,0,0,1,1,0,1,0,0,1,0,1,0,1,1,1,1,0,0,0,1,1,1,0,0,1,0,0,1,1,0,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,1,1",0.751984126984127,0.704,0.6502571082879612,30,0.6514285714285715,1.3323020935058594,"0,0,0,1,0,0,0,1,1,0,1,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1",0.6839572628659978,0.748,0.6914849856026326,23,0.6866666666666666,"1,1,0,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,1,0,1,1,1,0,1,1,1,0,1,0,1,0,1,1,0,1,0,0,0,1,1",0.7022503604337742,0.708,0.6064350563930042,41,0.6009523809523809
German_credit,3,"1,0,1,0,0,0,0,1,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0,1,1,0,1,0,0,1,0,1,1,1,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1",26,0.8115079365079365,0.6395662257882531,0.724,0.6780730826877204,0.6314285714285715,"1,0,1,0,0,0,0,1,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1,0,1,1,0,1,0,0,1,0,1,1,1,0,1,1,0,0,1,1,0,0,1,0,1,0,0,0,0,1",0.7898150372327648,0.744,0.6568291008922443,28,0.6457142857142857,"1,1,1,0,0,0,0,1,1,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,1,0,1,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1",0.7836179085687307,0.744,0.6706192358366272,26,0.660952380952381,1.095245361328125,"1,0,1,0,0,0,0,1,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1",0.7737823589582186,0.728,0.6465696465696466,21,0.638095238095238,"1,1,1,0,0,1,0,1,1,0,1,1,1,0,0,1,1,1,0,0,0,1,0,0,1,1,1,1,1,1,0,1,0,1,1,0,1,0,0,1,0,1,1,1,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1",0.7420634920634921,0.704,0.607418725065784,36,0.6019047619047619
German_credit,4,"0,0,1,1,0,1,0,1,1,1,1,0,1,0,0,0,1,1,0,1,1,0,0,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,1,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1",28,0.7753303122430639,0.5703194452675873,0.652,0.7034043152158613,0.5685714285714285,"1,1,1,1,0,0,0,1,1,1,1,0,1,0,0,0,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,0,1,0,0,1,1,0,1,1,1,1,1,0,0,0,0,1,1,0,0,0,1,1,1,1",0.7592755731290077,0.708,0.6296296296296297,35,0.6238095238095238,"1,0,1,1,0,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1",0.6597005364720956,0.736,0.6726190476190476,19,0.6666666666666666,2.809629440307617,"0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",0.6594458103528473,0.656,0.634974533106961,4,0.6666666666666667,"1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1",0.6296296296296297,0.712,0.6257796257796258,54,0.6190476190476191
German_credit,5,"0,1,1,1,0,1,0,1,1,1,1,0,1,0,0,1,1,0,1,0,0,0,0,0,1,1,1,1,1,1,1,0,0,1,0,1,0,1,1,1,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1",33,0.7879558948261238,0.6114751344086021,0.704,0.6603260869565217,0.6057142857142856,"0,1,1,1,0,1,0,1,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,1,0,1,0,1,1,1,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1",0.7817047817047817,0.712,0.6294466403162056,32,0.6228571428571429,"0,1,1,1,0,1,0,1,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,1,0,0,0,1,1,1,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1",0.7672686650530627,0.7,0.619482496194825,30,0.6142857142857143,0.9802179336547852,"0,1,1,1,0,1,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,1,1,1,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0",0.7465814352800016,0.732,0.6500135815625065,24,0.6409523809523809,"1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,1,0,1,0,0,1,0,0,1,1,1,1,1,1,1,0,0,1,0,1,0,1,1,1,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1",0.742671277997365,0.692,0.5936332355238437,37,0.5895238095238096
