dataset,best_solution,union_solution,sfs_intersection_solution,intersection_solution,majority_voting
Biodegradeable,0.18522985130388692,0.5483984059425603,0.22857877076828806,0.5972457402734945,0.20293858412639448
Breastcancer,0.20991384094832352,0.7133716475095807,0.2675350383971076,nan,0.2771354316181905
Clean2,0.0030764314919082382,nan,0.35279419813902696,0.9940476190476087,-0.0006926468722929214
Climate,0.5,0.7909323116219631,0.4540229885057458,0.7777777777777728,0.5268199233716448
German_credit,0.26297367682602196,0.6573168221557141,0.3372541522390149,0.7425174298096867,0.34356261742644173
Hepatitis,0.19881768597739577,0.7631014317402703,0.7074410163339372,nan,0.33744706594071405
Ionosphere,0.20996221887195535,nan,0.32136456586760853,0.9082938922695544,0.3188455757674816
Sonar,0.20287493147184005,0.5913026819923373,0.22644954118077867,nan,0.32648276080005045
Spect,0.5991740060705598,0.6905172413793107,0.5645350052246618,0.8703239289446253,0.6518286311389734
Uci_imageseg,0.3038549438730928,0.8990925589836634,0.4870701658360429,0.6679975801572882,0.5620840895341754
Uci_libras,0.1424202735845621,nan,0.10610934715598797,nan,0.22306577721651952
Uci_parkinsons,0.35363288052943226,0.6744618599790988,0.5144723092998964,nan,0.4869836293974204
Uci_voice,0.02901562037397802,nan,0.24321100557130823,nan,0.05657518681657105
Urbanland,0.10421308214376257,nan,0.20863271175198111,nan,0.20531062999808355
Wine,0.12625994694960216,nan,0.29224285293250785,nan,nan
