f1_macro,accuracy,tn,fp,fn,tp,size,vector,wrapper_duration,archive_duration
0.97469665581533,0.9766081871345029,107,0,4,60,24,110111110101111101011111111101,191.89257502555847,185.14211535453796
0.9686870536531771,0.9707602339181286,105,2,3,61,19,110010110100101111111110111000,180.0669867992401,173.23838996887207
0.922972972972973,0.9298245614035088,105,2,10,54,21,110010111110101011011110111101,188.71133184432983,181.73932671546936
0.9493933116306599,0.9532163742690059,105,2,6,58,18,011010111100010010111011101110,175.50538039207458,169.30183029174805
0.9561618751144478,0.9590643274853801,104,3,4,60,5,000000000000000000001111100000,144.26913952827454,138.90941452980042
0.9555629802873371,0.9590643274853801,106,1,6,58,24,111011110110111110111111101011,185.72676610946655,179.24194860458374
0.9428666889408619,0.9473684210526315,105,2,7,57,13,000000110100100000011111100111,167.45685362815857,161.14392399787903
0.9812122321919062,0.9824561403508771,106,1,2,62,23,111011100011111110111010111111,191.34912490844727,184.31739139556885
0.9617734724292102,0.9649122807017544,107,0,6,58,14,000000110101000101001101111101,165.093425989151,159.28370475769043
0.9814406135812741,0.9824561403508771,104,3,0,64,14,100110100100100000110110100111,171.75665307044983,165.25243163108826
0.9358108108108107,0.9415204678362573,106,1,9,55,17,011110111100001101001011010110,172.87498831748962,166.62456393241882
0.968479262672811,0.9707602339181286,106,1,4,60,17,011110100100001010111111010110,175.67717123031616,169.223619222641
0.9301703975943869,0.935672514619883,104,3,8,56,20,111010010011110101111100101111,181.63236141204834,174.92877769470215
0.9490312965722801,0.9532163742690059,106,1,7,57,18,110010110010101110001111011101,178.21440505981445,171.55770182609558
0.9874338624338623,0.9883040935672515,107,0,2,62,17,011000111110000101111101101001,171.86274671554565,165.62794828414917
0.9623015873015872,0.9649122807017544,105,2,4,60,18,010110111010011011011111001001,176.0375852584839,169.91216564178467
0.9497354497354498,0.9532163742690059,104,3,5,59,17,100011101100111110010101101001,172.30275058746338,165.73978567123413
0.9874338624338623,0.9883040935672515,107,0,2,62,19,010110111001111100111111100001,180.0328869819641,173.23554253578186
0.9490312965722801,0.9532163742690059,106,1,7,57,20,111011100110011100111000111111,177.41476607322693,171.03932976722717
0.9937374107306354,0.9941520467836257,107,0,1,63,19,101010110100111110110111100110,177.16190338134766,170.52082347869873
0.9617734724292102,0.9649122807017544,107,0,6,58,20,001111101010111011101101111100,184.31946635246277,177.61794757843018
0.9500584112149533,0.9532163742690059,103,4,4,60,15,111100010101100100000111111000,170.86172318458557,164.64131259918213
0.9296585767174003,0.935672514619883,105,2,9,55,16,101111011110001000011100100101,175.38876128196716,168.9312880039215
0.9555629802873371,0.9590643274853801,106,1,6,58,20,110110101100110010111011101111,182.06725120544434,175.62079334259033
0.9311115180369895,0.935672514619883,102,5,6,58,6,010000100000100000001000110000,151.97545504570007,146.36217164993286
0.9617734724292102,0.9649122807017544,107,0,6,58,17,100010000100111010111111100111,177.79628491401672,171.3918330669403
0.9555629802873371,0.9590643274853801,106,1,6,58,17,010100110100111011011010101101,173.99943852424622,167.61198902130127
0.9750292056074766,0.9766081871345029,105,2,2,62,18,110111110010010101011001111010,177.14214396476746,170.55865049362183
0.9617734724292102,0.9649122807017544,107,0,6,58,21,101110101110111110011101111010,184.12872624397278,177.38019800186157
0.9751814223512336,0.9766081871345029,104,3,1,63,12,000010100101010010000110110101,165.95961356163025,159.8352255821228
