accuracy_best,accuracy_mean,accuracy_worst,f1_macro__best,tn__best,fp__best,fn__best,tp__best,recall__best,#phenotypes,stddev
0.8690909090909091,0.7947620779471631,0.28104615384615383,0.6058854440357331,35,40,44,131,0.6076190476190476,76,0.13028374686630864
0.8644444444444445,0.7527036246417367,0.28104615384615383,0.6093353627600203,29,46,31,144,0.6047619047619047,92,0.17528811128276997
0.8644444444444445,0.7242244210026282,0.28104615384615383,0.6093353627600203,29,46,31,144,0.6047619047619047,109,0.1873923352617694
0.8644444444444445,0.6550916327493107,0.2773037037037037,0.6093353627600203,29,46,31,144,0.6047619047619047,133,0.20770316517425352
0.7010315789473685,0.4748696353821276,0.2773037037037037,0.7426470588235294,52,23,33,142,0.7523809523809524,171,0.1427977090284551
0.7010315789473685,0.4748696353821276,0.2773037037037037,0.7426470588235294,52,23,33,142,0.7523809523809524,171,0.1427977090284551
0.694648275862069,0.5369279681061606,0.3128258064516129,0.7278732827865775,48,27,31,144,0.7314285714285714,177,0.12885052985642534
0.708725,0.5961756159482349,0.3239714285714286,0.7518382352941176,53,22,32,143,0.7619047619047619,161,0.09778729336787177
0.7089333333333333,0.6150260532421875,0.2701037037037037,0.7484347048300537,51,24,30,145,0.7542857142857143,158,0.08951391084017651
0.7014303030303031,0.6240474821251368,0.3237333333333334,0.7197533829770197,41,34,22,153,0.7104761904761905,160,0.07903106551290098
0.709048275862069,0.6299066785854395,0.29544615384615386,0.7484347048300537,51,24,30,145,0.7542857142857143,165,0.08009879804925452
0.709048275862069,0.6376070099784854,0.3093333333333334,0.7366573033707866,45,30,24,151,0.7314285714285714,153,0.07502180551517243
0.7196258064516129,0.6517484193284285,0.32037142857142853,0.7562094877531118,49,26,25,150,0.7552380952380953,154,0.06090077720929209
0.7171478260869566,0.6581264779075826,0.3272258064516129,0.7594196461618181,53,22,30,145,0.7676190476190476,157,0.0498345090453577

0.8791666666666665,0.8030875381903293,0.2951714285714286,0.5869069163584861,29,46,38,137,0.5847619047619047,83,0.11456205578151898
0.8791666666666665,0.7672612670512808,0.2951714285714286,0.5869069163584861,29,46,38,137,0.5847619047619047,100,0.1551142242651933
0.8791666666666665,0.7261469314960383,0.273448275862069,0.5869069163584861,29,46,38,137,0.5847619047619047,112,0.1876110180722051
0.8791666666666665,0.6558443952717288,0.273448275862069,0.5869069163584861,29,46,38,137,0.5847619047619047,139,0.20853138208531433
0.6801333333333334,0.47145765544376755,0.273448275862069,0.7069721718088324,45,30,32,143,0.7085714285714286,169,0.14453556433141276
0.6801333333333334,0.47145765544376755,0.273448275862069,0.7069721718088324,45,30,32,143,0.7085714285714286,169,0.14453556433141276
0.6832571428571429,0.5399743151023157,0.2959478260869565,0.718733285379664,49,26,35,140,0.7266666666666667,168,0.13063792617286935
0.6939027027027027,0.5988969000550479,0.2992,0.7238095238095238,46,29,29,146,0.7238095238095238,164,0.0869272520855941
0.6867027027027027,0.624610560008371,0.27744615384615384,0.7184896028826666,47,28,32,143,0.7219047619047619,159,0.056471484450978306
0.6842461538461538,0.6262741371828979,0.2702461538461538,0.6845197459608183,35,40,21,154,0.6733333333333333,150,0.07206857042878878
0.7017333333333333,0.6307915530096141,0.29184615384615387,0.7269038701622971,44,31,25,150,0.7219047619047618,152,0.07345938678587423
0.6939777777777778,0.646470327873329,0.33837142857142855,0.7238095238095238,46,29,29,146,0.7238095238095238,151,0.04727095872499121
0.6949037037037037,0.642991526862135,0.30912500000000004,0.7171504369538078,43,32,26,149,0.7123809523809523,143,0.05778495585732506
0.6952,0.638566262604818,0.2959478260869565,0.7070943762120233,39,36,22,153,0.6971428571428572,152,0.07859772027127138

0.7010315789473685,0.48522237276849256,0.2773037037037037,0.4259985995994203,71,4,137,38,0.5819047619047619,174,0.14098755733465895
0.7010315789473685,0.49071059231895675,0.2773037037037037,0.4259985995994203,71,4,137,38,0.5819047619047619,176,0.13928482723050012
0.7010315789473685,0.4817222233032857,0.2773037037037037,0.4259985995994203,71,4,137,38,0.5819047619047619,176,0.13809037015191422
0.7010315789473685,0.4802778955592742,0.28077142857142856,0.4259985995994203,71,4,137,38,0.5819047619047619,173,0.13330828562640207
0.658325,0.47580484093774933,0.2881037037037037,0.7018799102132436,54,21,47,128,0.7257142857142858,168,0.12143891324024317
0.658325,0.47580484093774933,0.2881037037037037,0.7018799102132436,54,21,47,128,0.7257142857142858,168,0.12143891324024317
0.6589037037037037,0.5339886546365203,0.3205037037037037,0.7089240462981987,59,16,52,123,0.7447619047619047,168,0.11057784428851213
0.6615027027027027,0.5755033706660612,0.2915714285714286,0.6988005970041897,50,25,42,133,0.7133333333333334,162,0.09037781975174712
0.6688571428571429,0.6057598803884341,0.34162580645161295,0.7157649857445207,56,19,46,129,0.7419047619047618,145,0.06578873965482346
0.6833411764705882,0.6129071742242853,0.3172,0.7345933622234986,59,16,45,130,0.7647619047619048,150,0.06475807658034681
0.6847478260869565,0.6175976408025005,0.31623030303030303,0.7289322597273324,55,20,41,134,0.7495238095238095,156,0.058786517612698805
0.6839714285714286,0.6263084805522802,0.32362580645161293,0.7257736778694862,53,22,39,136,0.7419047619047618,161,0.05449861762147361
0.6869411764705883,0.628409495604241,0.33596190476190474,0.7408252125233257,61,14,46,129,0.7752380952380953,151,0.05992351261170237
0.6902315789473684,0.6215437659759968,0.32343030303030307,0.7347647048245851,54,21,38,137,0.7514285714285713,152,0.08158058760984119

0.6801333333333334,0.48113001550792367,0.273448275862069,0.5465985639203494,30,45,53,122,0.5485714285714286,171,0.14193348622649424
0.6801333333333334,0.4909770161888687,0.273448275862069,0.5465985639203494,30,45,53,122,0.5485714285714286,174,0.1380972799921676
0.6801333333333334,0.5051948031393517,0.28556190476190474,0.5465985639203494,30,45,53,122,0.5485714285714286,178,0.13225129200413197
0.6801333333333334,0.5227563170613988,0.291448275862069,0.5465985639203494,30,45,53,122,0.5485714285714286,176,0.11751456006059453
0.654725,0.5765574818510414,0.48202580645161297,0.6859696710418526,47,28,41,134,0.6961904761904762,166,0.03381053159910138
0.654725,0.5765574818510414,0.48202580645161297,0.6859696710418526,47,28,41,134,0.6961904761904762,166,0.03381053159910138
0.6619250000000001,0.5954114981578507,0.5081666666666668,0.6931054068414593,47,28,39,136,0.7019047619047619,162,0.027421170078301686
0.67,0.6051041110480961,0.5463777777777777,0.6982414439843271,46,29,36,139,0.7038095238095238,154,0.023481010525477956
0.6697037037037037,0.6116324302975888,0.5339619047619047,0.6961196820944366,45,30,35,140,0.7,151,0.0215286516080178
