f1_macro_best,f1_macro_mean,f1_macro_worst,accuracy__best,tn__best,fp__best,fn__best,tp__best,recall__best,#phenotypes,stddev
1.0,0.604252036127036,0.42857142857142855,1.0,3,0,0,17,1.0,9,0.17447281567639944
1.0,0.7738855203561087,0.45945945945945943,1.0,3,0,0,17,1.0,7,0.17337951973230606
1.0,0.90978913978914,0.45945945945945943,1.0,3,0,0,17,1.0,5,0.1615139682668094
1.0,0.9390288990288992,0.45945945945945943,1.0,3,0,0,17,1.0,4,0.13465301267328528
1.0,0.9855699855699857,0.9134199134199135,1.0,3,0,0,17,1.0,2,0.03226649318181513
1.0,0.9971139971139972,0.9134199134199135,1.0,3,0,0,17,1.0,2,0.015541601174991345
1.0,1.0,1.0,1.0,3,0,0,17,1.0,1,0.0
1.0,1.0,1.0,1.0,3,0,0,17,1.0,1,0.0
1.0,1.0,1.0,1.0,3,0,0,17,1.0,1,0.0
1.0,1.0,1.0,1.0,3,0,0,17,1.0,1,0.0
1.0,1.0,1.0,1.0,3,0,0,17,1.0,1,0.0
1.0,1.0,1.0,1.0,3,0,0,17,1.0,1,0.0
1.0,1.0,1.0,1.0,3,0,0,17,1.0,1,0.0
1.0,1.0,1.0,1.0,3,0,0,17,1.0,1,0.0

0.8857142857142857,0.717470174528998,0.42857142857142855,0.95,2,1,0,17,0.8333333333333333,9,0.13231989276233236
0.9134199134199135,0.8081761364114307,0.45945945945945943,0.95,3,0,1,16,0.9705882352941176,7,0.09311216087176707
0.9134199134199135,0.8406829977418213,0.45945945945945943,0.95,3,0,1,16,0.9705882352941176,5,0.08660578658927003
0.9134199134199135,0.8552355258237612,0.45945945945945943,0.95,3,0,1,16,0.9705882352941176,4,0.08405365987640624
1.0,0.9032068585009763,0.803921568627451,1.0,3,0,0,17,1.0,4,0.057894573427628104
1.0,0.9200882777353366,0.803921568627451,1.0,3,0,0,17,1.0,4,0.05776088311898065
1.0,0.9257007045242339,0.803921568627451,1.0,3,0,0,17,1.0,4,0.05572937341052234
1.0,0.938008658008658,0.8857142857142857,1.0,3,0,0,17,1.0,3,0.05478980518830218
1.0,0.938932178932179,0.8857142857142857,1.0,3,0,0,17,1.0,3,0.054130090472572286
1.0,0.9447041847041847,0.8857142857142857,1.0,3,0,0,17,1.0,3,0.055695399413509296
1.0,0.9513997113997114,0.8857142857142857,1.0,3,0,0,17,1.0,3,0.055788637943828094
1.0,0.9513997113997114,0.8857142857142857,1.0,3,0,0,17,1.0,3,0.055788637943828094
1.0,0.9513997113997114,0.8857142857142857,1.0,3,0,0,17,1.0,3,0.055788637943828094
1.0,0.9552092352092352,0.8857142857142857,1.0,3,0,0,17,1.0,3,0.055070622072547905

0.7402597402597403,0.6079824983575882,0.45945945945945943,0.85,2,1,2,15,0.7745098039215685,10,0.1045742499636918
0.7402597402597403,0.6915003996455609,0.45945945945945943,0.85,2,1,2,15,0.7745098039215685,7,0.061712652322725596
0.7402597402597403,0.7098809523809525,0.5670995670995671,0.85,2,1,2,15,0.7745098039215685,5,0.04851433354562846
0.7402597402597403,0.7296176046176047,0.6875,0.85,2,1,2,15,0.7745098039215685,3,0.017971107905056342
0.7402597402597403,0.7372534872534874,0.7222222222222222,0.85,2,1,2,15,0.7745098039215685,2,0.006722186079544837
0.7402597402597403,0.7384559884559887,0.7222222222222222,0.85,2,1,2,15,0.7745098039215685,2,0.005411255411255422
