dataset,f1_macro_avg,accuracy_avg,recall_avg
Biodegradeable,0.7947470016095457,0.8136363636363637,0.7992423756019263
Breastcancer,0.9388021863063316,0.943356643356643,0.936383647798742
Clean2,0.905033799060982,0.9487878787878788,0.9194924192856984
Climate,0.5835670096277791,0.8800000000000002,0.583351214743819
German_credit,0.6294621478087092,0.7,0.6253333333333332
Ionosphere,0.8220621655276071,0.8511363636363636,0.8020089285714286
Madelon,0.5406378857323202,0.5426153846153846,0.5426153846153846
Uci_imageseg,0.841820708285768,0.8433962264150942,0.8436224489795916
Uci_parkinsons,0.8784627031362474,0.910204081632653,0.881418918918919
Uci_voice,0.7583524956688291,0.78125,0.7619047619047618
Urbanland,0.7491894104200916,0.7520710059171597,0.7486272829762509
Wine,0.9355132263372302,0.9333333333333335,0.9444444444444443

