f1_macro,accuracy,tn,fp,fn,tp,recall,size,vector
0.6198275862068966,0.6326530612244898,11,1,17,20,0.7286036036036037,22,1111111111111111111111
0.6487455197132617,0.673469387755102,10,2,14,23,0.7274774774774775,22,1111111111111111111111
0.693307655272027,0.7346938775510204,9,3,10,27,0.7398648648648649,22,1111111111111111111111
0.717766947275144,0.7346938775510204,12,0,13,24,0.8243243243243243,22,1111111111111111111111
0.6743464776251661,0.6938775510204082,11,1,14,23,0.7691441441441441,22,1111111111111111111111
0.5875055383252105,0.6122448979591837,9,3,16,21,0.6587837837837838,22,1111111111111111111111
0.7215909090909091,0.7551020408163265,10,2,10,27,0.7815315315315315,22,1111111111111111111111
0.6816591704147925,0.7346938775510204,8,4,9,28,0.7117117117117118,22,1111111111111111111111
0.7215909090909091,0.7551020408163265,10,2,10,27,0.7815315315315315,22,1111111111111111111111
0.6666666666666666,0.6938775510204082,10,2,13,24,0.7409909909909911,22,1111111111111111111111
0.6198275862068966,0.6326530612244898,11,1,17,20,0.7286036036036037,22,1111111111111111111111
0.6487455197132617,0.673469387755102,10,2,14,23,0.7274774774774775,22,1111111111111111111111
0.693307655272027,0.7346938775510204,9,3,10,27,0.7398648648648649,22,1111111111111111111111
0.717766947275144,0.7346938775510204,12,0,13,24,0.8243243243243243,22,1111111111111111111111
0.6743464776251661,0.6938775510204082,11,1,14,23,0.7691441441441441,22,1111111111111111111111
0.5875055383252105,0.6122448979591837,9,3,16,21,0.6587837837837838,22,1111111111111111111111
0.7215909090909091,0.7551020408163265,10,2,10,27,0.7815315315315315,22,1111111111111111111111
0.6816591704147925,0.7346938775510204,8,4,9,28,0.7117117117117118,22,1111111111111111111111
0.7215909090909091,0.7551020408163265,10,2,10,27,0.7815315315315315,22,1111111111111111111111
0.6666666666666666,0.6938775510204082,10,2,13,24,0.7409909909909911,22,1111111111111111111111
0.6198275862068966,0.6326530612244898,11,1,17,20,0.7286036036036037,22,1111111111111111111111
0.6487455197132617,0.673469387755102,10,2,14,23,0.7274774774774775,22,1111111111111111111111
0.693307655272027,0.7346938775510204,9,3,10,27,0.7398648648648649,22,1111111111111111111111
0.717766947275144,0.7346938775510204,12,0,13,24,0.8243243243243243,22,1111111111111111111111
0.6743464776251661,0.6938775510204082,11,1,14,23,0.7691441441441441,22,1111111111111111111111
0.5875055383252105,0.6122448979591837,9,3,16,21,0.6587837837837838,22,1111111111111111111111
0.7215909090909091,0.7551020408163265,10,2,10,27,0.7815315315315315,22,1111111111111111111111
0.6816591704147925,0.7346938775510204,8,4,9,28,0.7117117117117118,22,1111111111111111111111
0.7215909090909091,0.7551020408163265,10,2,10,27,0.7815315315315315,22,1111111111111111111111
0.6666666666666666,0.6938775510204082,10,2,13,24,0.7409909909909911,22,1111111111111111111111
