dataset,f1_macro_avg,accuracy_avg,recall_avg
Biodegradeable,0.8239734305990116,0.8412878787878787,0.827277688603531
Breastcancer,0.9634272257985188,0.9664335664335667,0.9582075471698113
Clean2,0.9072634370564059,0.9523636363636362,0.9013153441779661
Climate,0.6140223423516513,0.922962962962963,0.5850153780130175
German_credit,0.6168893700874527,0.7156,0.6113333333333332
Ionosphere,0.7795477961849148,0.8215909090909091,0.7607142857142858
Madelon,0.562608901996153,0.5656923076923077,0.5656923076923077
Uci_imageseg,0.8238636799340028,0.8301886792452832,0.8316326530612244
Uci_parkinsons,0.8058506961648978,0.8673469387755102,0.7967342342342344
Uci_voice,0.7597352049840183,0.796875,0.7521645021645021
Urbanland,0.7839614929365227,0.7988165680473372,0.7684300424601376
Wine,0.9495436175413903,0.948888888888889,0.9555555555555554

