f1_macro,accuracy,tn,fp,fn,tp,recall,size,vector
0.8033846940754537,0.8402366863905325,14,0,0,0,0.7908769231473471,147,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111
0.766027124325087,0.7751479289940828,13,0,0,0,0.7581607429772057,147,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111
0.7734534285360923,0.7810650887573964,13,0,0,0,0.748028134336996,147,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111
0.7887016835145743,0.7988165680473372,13,0,0,0,0.777456563861211,147,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111
0.7677271635525905,0.7751479289940828,11,2,0,0,0.7487023108176242,147,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111
0.8239281085645466,0.834319526627219,15,0,0,0,0.8033990834417235,147,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111
0.7821074283781386,0.7988165680473372,13,0,0,0,0.7745574153527435,147,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111
0.8187460645315576,0.8224852071005917,14,0,0,0,0.8008289633984851,147,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111
0.75107545692341,0.7810650887573964,10,0,0,1,0.7353331548084978,147,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111
0.7644637769637769,0.7810650887573964,11,0,0,1,0.7469571324595425,147,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111
0.8033846940754537,0.8402366863905325,14,0,0,0,0.7908769231473471,147,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111
0.766027124325087,0.7751479289940828,13,0,0,0,0.7581607429772057,147,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111
0.7734534285360923,0.7810650887573964,13,0,0,0,0.748028134336996,147,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111
0.7887016835145743,0.7988165680473372,13,0,0,0,0.777456563861211,147,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111
0.7677271635525905,0.7751479289940828,11,2,0,0,0.7487023108176242,147,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111
0.8239281085645466,0.834319526627219,15,0,0,0,0.8033990834417235,147,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111
0.7821074283781386,0.7988165680473372,13,0,0,0,0.7745574153527435,147,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111
0.8187460645315576,0.8224852071005917,14,0,0,0,0.8008289633984851,147,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111
0.75107545692341,0.7810650887573964,10,0,0,1,0.7353331548084978,147,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111
0.7644637769637769,0.7810650887573964,11,0,0,1,0.7469571324595425,147,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111
0.8033846940754537,0.8402366863905325,14,0,0,0,0.7908769231473471,147,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111
0.766027124325087,0.7751479289940828,13,0,0,0,0.7581607429772057,147,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111
0.7734534285360923,0.7810650887573964,13,0,0,0,0.748028134336996,147,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111
0.7887016835145743,0.7988165680473372,13,0,0,0,0.777456563861211,147,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111
0.7677271635525905,0.7751479289940828,11,2,0,0,0.7487023108176242,147,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111
0.8239281085645466,0.834319526627219,15,0,0,0,0.8033990834417235,147,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111
0.7821074283781386,0.7988165680473372,13,0,0,0,0.7745574153527435,147,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111
0.8187460645315576,0.8224852071005917,14,0,0,0,0.8008289633984851,147,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111
0.75107545692341,0.7810650887573964,10,0,0,1,0.7353331548084978,147,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111
0.7644637769637769,0.7810650887573964,11,0,0,1,0.7469571324595425,147,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111
